
19,5,15,1,2,25,18,3,17,21,0,8,23,11,22
9,26,15,11,2,1,8,25,18,5,17,0,19,23,29
9,26,19,5,8,15,2,3,25,1,18,23,21,0,17
9,26,19,5,15,8,2,29,11,1,25,18,23,0,17
19,5,3,25,21,1,23,18,2,0,17,8,15,22,20
26,9,19,5,20,3,24,22,23,28,16,21,8,14,0
7,13,10,4,6,12,16,28,20,27,24,11,17,0,14
9,26,19,5,29,8,11,2,15,3,23,0,14,1,25
26,9,19,6,4,29,16,12,13,7,5,20,24,22,28
15,2,11,18,1,25,17,0,23,21,3,28,22,20,14
19,5,20,16,24,28,22,6,23,3,21,14,0,4,18
9,26,29,8,19,27,11,12,10,23,5,14,15,16,13
9,26,19,8,29,5,14,16,11,6,12,23,28,10,24
26,9,29,19,6,12,4,8,16,13,10,7,24,23,27
9,26,19,5,15,2,8,25,1,18,23,3,17,11,0
19,5,20,6,16,28,24,21,3,4,22,23,14,13,0
9,26,19,5,25,8,2,1,15,3,18,21,23,17,0
6,20,16,4,24,22,28,13,7,3,21,12,14,23,0
15,11,2,18,25,17,1,0,23,21,28,14,20,24,8
26,9,29,27,4,6,12,7,13,10,16,20,24,22,14
15,2,11,18,25,17,1,0,21,23,28,20,14,3,8
29,6,4,26,9,12,13,27,7,10,16,20,24,28,22
16,20,6,24,28,22,4,13,7,23,5,14,3,21,19
26,9,19,5,3,8,22,21,23,25,1,20,18,2,24
9,26,19,29,5,8,15,27,25,1,2,3,17,18,11
6,4,7,13,12,27,16,29,10,20,24,22,28,14,3
9,26,19,5,8,29,15,11,2,23,1,18,25,3,0
9,26,15,2,11,5,1,25,18,8,19,17,0,23,3
9,26,29,19,8,27,5,12,10,14,6,13,4,11,7
26,9,19,5,3,8,23,21,25,22,1,18,2,0,20

13,28,19,18,12,20,7,27,5,25,2,16,0,29,17
24,4,3,25,29,22,15,2,6,9,18,17,26,0,8
17,2,29,3,6,9,25,15,26,4,24,22,0,18,13
17,2,13,29,25,3,26,9,6,15,4,0,23,24,18
11,23,1,14,7,13,21,20,16,19,5,28,17,12,2
2,17,29,13,25,3,6,4,26,9,15,24,0,18,12
1,21,7,14,11,20,19,16,28,5,27,23,12,8,10
11,1,23,14,7,21,20,16,8,19,5,26,9,6,15
1,11,21,14,7,20,23,19,16,5,28,8,27,12,10
21,7,1,28,19,14,20,27,16,5,12,10,18,11,0
24,3,4,25,29,2,15,6,9,22,17,26,18,8,0
13,17,16,2,20,19,5,29,12,28,0,7,26,25,14
17,2,13,29,3,25,9,6,26,15,23,4,0,24,22
7,14,11,1,20,19,21,16,13,28,5,23,12,0,27
1,14,7,21,11,20,19,16,28,5,23,27,12,8,10
3,17,29,2,9,6,15,25,24,4,26,22,8,0,18
11,1,23,21,7,14,20,19,28,13,16,5,27,12,8
1,11,14,7,21,20,19,16,23,5,28,13,12,8,27
1,14,21,7,11,20,19,16,28,5,23,8,27,12,10
1,14,7,21,11,20,16,19,5,28,8,23,27,12,10
1,21,14,7,11,20,19,16,5,28,8,23,27,12,10
24,4,3,25,22,15,29,9,6,2,18,26,17,8,0
29,2,17,25,18,3,0,4,12,13,28,10,26,6,24
1,14,7,21,11,20,19,16,5,28,23,8,27,12,10
3,25,29,2,24,17,4,6,15,9,26,22,18,0,8
2,29,17,25,3,4,24,13,18,6,9,26,0,15,10
1,11,7,14,21,20,19,16,28,23,5,8,27,12,13
11,1,14,7,23,21,20,16,19,13,5,28,8,12,27
1,14,21,7,11,20,19,16,5,28,23,8,27,12,10
24,3,25,4,29,2,17,22,15,18,6,9,26,0,10

7,18,5,12,27,0,16,24,28,2,3,21,17,11,10
22,4,1,26,9,13,6,20,15,23,14,19,29,11,17
4,1,22,26,13,9,6,20,19,23,15,8,14,25,29
5,7,18,27,12,0,16,28,24,2,21,3,17,8,19
18,7,5,12,27,0,16,24,28,2,3,21,17,11,10
18,7,5,12,27,0,16,24,28,2,3,21,17,11,10
5,7,18,0,27,12,16,28,24,2,21,3,17,11,10
2,0,28,5,21,7,27,18,17,24,16,4,3,25,11
12,7,18,5,27,0,16,24,28,8,2,21,3,19,10
12,18,7,5,27,0,16,24,28,2,3,21,11,10,17
19,8,4,1,22,26,25,21,17,13,2,29,0,14,9
7,18,5,12,27,0,16,24,28,2,8,3,21,17,10
5,7,18,27,12,0,16,28,24,2,21,3,17,11,10
5,7,18,27,12,0,16,28,24,2,21,3,8,10,25
18,7,5,12,27,0,16,24,28,2,3,21,11,17,10
7,5,18,12,27,0,16,24,28,2,21,3,17,11,10
18,7,5,12,27,0,16,24,28,2,3,21,17,11,10
22,26,9,1,6,13,4,20,23,15,14,29,19,25,11
5,7,18,27,0,12,16,28,24,2,21,3,17,11,10
5,18,7,0,27,12,16,24,28,2,21,3,17,11,10
4,1,8,22,26,13,9,6,20,19,23,15,14,25,29
8,9,20,6,23,1,15,13,4,22,26,14,19,25,10
1,4,22,9,6,20,13,26,23,8,15,19,14,25,29
4,1,22,26,13,9,6,20,23,15,8,14,19,25,29
7,18,5,12,27,16,0,24,28,2,3,21,8,10,17
4,1,22,26,13,9,6,20,23,19,15,25,14,29,17
12,18,5,7,27,0,16,24,28,2,3,21,10,11,8
20,23,9,6,15,22,13,19,8,1,26,4,10,12,29
1,4,22,9,26,13,6,20,8,19,23,15,14,25,29
12,18,7,5,27,16,24,0,28,20,23,15,6,9,8

9,28,1,22,17,27,20,10,11,14,12,21,3,25,16
19,2,4,18,24,5,13,15,7,26,8,23,25,16,29
24,19,2,4,13,15,18,7,29,5,6,23,26,8,25
19,2,4,18,24,15,5,13,7,26,8,16,23,29,25
28,11,9,12,21,14,27,1,17,10,22,20,3,16,25
19,2,4,15,18,24,13,16,7,5,26,8,0,6,23
19,5,4,18,2,24,26,25,23,7,8,15,29,16,13
22,20,1,17,27,10,9,28,11,14,21,12,3,25,29
22,17,27,1,20,9,10,28,11,14,12,21,3,25,29
28,9,11,14,12,21,27,22,1,10,17,20,3,16,29
9,28,11,27,1,22,17,10,14,12,20,21,3,16,0
20,22,17,10,1,27,9,28,3,11,21,14,12,25,23
2,24,19,4,18,13,15,7,26,5,8,6,23,29,0
9,28,22,27,17,1,11,10,20,14,12,21,3,16,29
19,5,4,18,2,24,25,26,23,7,8,15,13,16,29
20,22,1,17,27,10,9,28,11,21,14,12,3,25,23
21,12,11,14,28,16,9,3,6,0,15,13,10,27,17
28,9,22,1,27,17,11,20,10,14,12,21,3,16,25
5,19,4,18,2,16,24,25,26,15,7,23,8,13,29
22,20,17,1,10,27,9,28,11,3,14,21,12,25,29
19,2,4,18,24,15,13,7,26,5,8,23,6,0,29
19,2,4,24,18,7,26,5,13,15,8,23,29,6,25
5,4,19,2,18,25,24,23,26,8,7,29,13,15,6
10,9,27,17,22,28,20,1,11,21,14,12,3,6,29
12,14,11,28,21,9,22,1,27,17,20,10,16,18,5
22,1,20,17,27,9,10,28,11,14,21,12,3,25,29
9,27,10,17,1,22,20,28,11,21,14,12,3,0,25
4,2,19,18,5,24,25,23,29,26,13,8,7,15,6
15,13,19,24,7,8,2,18,26,4,6,0,23,5,29
22,20,10,17,27,1,9,28,11,21,3,14,12,25,29

22,9,8,11,28,20,2,16,7,13,1,26,19,29,3
12,10,0,25,27,15,17,5,23,6,26,24,14,4,7
7,19,26,4,21,6,24,29,18,15,16,25,10,5,23
15,6,17,10,27,5,12,23,21,4,25,14,0,24,18
19,7,26,4,21,6,24,29,15,10,25,5,23,17,18
7,19,26,4,21,24,6,29,16,18,15,5,25,10,23
4,26,19,6,24,21,15,7,10,25,5,27,17,0,12
11,20,22,9,8,28,2,1,13,18,3,14,12,29,23
7,26,19,22,8,9,11,4,21,16,29,24,6,28,18
7,26,19,4,21,24,6,29,16,18,15,25,5,10,17
13,1,14,12,2,0,27,3,5,23,17,25,20,15,10
7,26,19,4,16,21,24,6,29,22,8,9,25,10,15
11,22,9,8,20,28,2,1,13,18,29,21,16,5,24
6,24,4,17,25,21,5,15,10,12,27,0,26,18,19
9,22,8,11,2,28,20,16,13,1,25,27,12,0,14
22,9,8,11,28,7,26,19,20,4,16,2,21,18,24
20,11,9,2,22,8,28,13,1,3,14,29,12,27,5
9,22,11,8,20,2,28,13,1,16,12,14,25,27,0
7,26,22,19,8,9,11,4,21,28,24,6,18,16,29
22,11,8,9,28,20,2,7,18,26,19,1,4,13,21
9,22,8,11,28,16,7,19,26,2,29,20,25,4,21
22,9,8,11,28,20,2,7,26,19,1,13,18,16,4
7,26,19,4,21,6,24,16,18,29,15,10,25,5,17
5,25,18,24,17,21,6,15,27,12,10,14,0,23,4
5,18,14,15,23,17,12,27,25,0,10,21,6,3,24
19,26,7,4,21,6,24,18,29,15,5,25,10,23,17
